City_ID,City,Country,Max Temp,City Description,Lat,Lng,Hotel Name
264,Bubaque,GW,79.27,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
271,Kailua,US,68.07,clear sky,21.4022,-157.7394,Sheffield House Bed & Breakfast
272,Chau Doc,VN,73.96,overcast clouds,10.7,105.1167,JADE AND SAPPHIRE GUESTHOUSE
275,Marawi,PH,70.65,scattered clouds,7.9986,124.2928,Derogongan Residence
276,Chandbali,IN,66.27,broken clouds,20.7833,86.7667,KABITA HOMES
278,Kahului,US,74.84,few clouds,20.8947,-156.47,Maui Seaside Hotel
279,Pathein,MM,72.09,clear sky,16.7833,94.7333,New Pammawaddy Hotel
280,Awbari,LY,60.28,clear sky,26.5921,12.7805,فندق أوباري
283,Khirkiya,IN,65.05,clear sky,22.1674,76.8605,Sanjay Industries
285,Santa Isabel Do Rio Negro,BR,79.7,overcast clouds,-0.4139,-65.0192,Hotel GSA
286,Namatanai,PG,79.95,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
288,Sungaipenuh,ID,64.89,overcast clouds,-2.0833,101.3833,penginapan citra alam
294,Marsa Matruh,EG,59.2,scattered clouds,31.3525,27.2453,Beau Site
295,Guerrero Negro,MX,61.59,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
296,San Quintin,MX,60.24,clear sky,30.4833,-115.95,Don Eddie's Landing
301,Olavarria,AR,63.01,overcast clouds,-36.8927,-60.3225,Hotel Santa Rosa
304,Moron,AR,71.01,overcast clouds,-34.6534,-58.6198,Hotel Morón
305,Honiara,SB,79.47,overcast clouds,-9.4333,159.95,Heritage Park Hotel
306,Kruisfontein,ZA,68.88,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
308,Port Moresby,PG,76.23,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
312,Jieshi,CN,57.94,overcast clouds,22.8134,115.8257,Yuehai Hotel
316,Kavaratti,IN,78.98,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
321,Faya,SA,60.91,clear sky,18.3851,42.4509,املاك خالد الشعشوع
322,Saint Albans,GB,50.16,scattered clouds,51.75,-0.3333,The White Hart
324,Constitucion,CL,72.37,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
332,Tartagal,AR,77.92,light rain,-22.5164,-63.8013,Almuñecar Hotel
334,Maumere,ID,79.38,broken clouds,-8.6199,122.2111,Sylvia Hotel
335,Samana,DO,77.22,scattered clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
337,Marsh Harbour,BS,73.87,clear sky,26.5412,-77.0636,Abaco Beach Resort
344,Dingle,PH,74.86,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
346,Mbulu,TZ,59.29,light rain,-3.85,35.5333,Pasila Lodge
347,Colares,PT,61.45,few clouds,38.7992,-9.4469,Arribas Sintra Hotel
355,Guaymas,MX,64.89,clear sky,27.9333,-110.9,Hotel Armida
356,Arlit,NE,74.59,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
361,Algeciras,ES,69.46,clear sky,36.1333,-5.4505,AC Hotel by Marriott Algeciras
366,Lompoc,US,65.12,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
367,Kamina,CD,67.17,overcast clouds,-8.7386,24.9906,Guest House Florvia
369,Lower Hutt,NZ,61.02,broken clouds,-41.2167,174.9167,Boulcott Lodge
370,Esperance,AU,67.84,clear sky,-33.8667,121.9,Hospitality Esperance
371,Loiza,PR,77.58,mist,18.4313,-65.8802,Malibu Beachfront
374,Bontang,ID,78.78,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
375,Jilib,SO,77.11,overcast clouds,0.4883,42.7854,Waadi Hotel
377,Mount Isa,AU,71.37,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
378,Geraldton,AU,68.41,clear sky,-28.7667,114.6,Broadwater Mariner Resort
382,Lyantonde,UG,67.01,overcast clouds,-0.4031,31.1572,Pals Panache Splendors
