City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,City Description
143,Qaanaaq,GL,77.484,-69.3632,0.0,74,89,4.36,overcast clouds
144,Avarua,CK,-21.2078,-159.775,77.05,88,40,8.05,scattered clouds
145,Codrington,AU,-38.2667,141.9667,57.27,86,97,8.34,overcast clouds
146,Payson,US,40.0444,-111.7321,34.56,63,40,5.75,scattered clouds
147,Tadine,NC,-21.55,167.8833,79.07,88,94,4.03,moderate rain
148,Acapulco,MX,16.8634,-99.8901,80.42,65,20,0.0,few clouds
149,Sisimiut,GL,66.9395,-53.6735,2.26,91,97,11.97,light snow
150,Ligayan,PH,4.6533,119.4706,80.65,82,99,12.01,overcast clouds
151,Kushiro,JP,42.975,144.3747,16.16,81,69,5.46,broken clouds
152,Zhangjiakou,CN,40.81,114.8794,13.06,67,2,5.75,light snow
153,Namibe,AO,-15.1961,12.1522,76.08,63,30,13.06,scattered clouds
154,Sokoni,TZ,-6.4333,39.55,82.69,75,100,7.76,overcast clouds
155,Saa,CM,4.3667,11.45,85.6,20,84,0.47,broken clouds
156,Verkhnevilyuysk,RU,63.4453,120.3167,-18.99,100,97,2.33,overcast clouds
157,Mogadishu,SO,2.0371,45.3438,77.59,82,55,16.64,broken clouds
158,Orbetello,IT,42.4408,11.2196,57.22,81,97,3.44,overcast clouds
159,Lydenburg,ZA,-25.0978,30.4597,62.28,87,36,8.05,scattered clouds
160,Lashio,MM,22.9333,97.75,53.65,74,7,0.87,clear sky
161,Zumpahuacan,MX,18.9,-99.55,61.84,47,4,5.12,clear sky
162,Ancud,CL,-41.8697,-73.8203,71.22,58,3,6.93,clear sky
163,Dubbo,AU,-32.25,148.6167,57.33,82,75,9.22,broken clouds
164,Manhuacu,BR,-20.2581,-42.0336,76.12,89,100,3.76,overcast clouds
165,Bahar,IR,34.9072,48.4414,33.96,75,20,6.91,few clouds
166,Pevek,RU,69.7008,170.3133,-28.16,99,20,3.09,few clouds
167,Bethel,US,41.3712,-73.414,27.03,76,75,4.0,broken clouds
168,Gat,IL,31.61,34.7642,55.08,100,80,8.08,broken clouds
169,Coulommiers,FR,48.8145,3.085,48.58,70,24,9.01,few clouds
170,Leningradskiy,RU,69.3833,178.4167,-21.06,96,9,5.01,clear sky
171,Gladstone,AU,-23.85,151.25,73.33,60,100,11.5,overcast clouds
172,Zhigalovo,RU,54.8097,105.1578,16.16,97,100,4.34,light snow
173,Marfino,RU,55.7028,37.3822,15.94,85,0,6.71,clear sky
174,Vila Velha,BR,-20.3297,-40.2925,82.94,72,75,10.0,broken clouds
175,Mount Gambier,AU,-37.8333,140.7667,58.91,82,89,8.05,overcast clouds
176,Muli,MV,2.9167,73.5667,82.02,70,20,10.96,few clouds
177,Narsaq,GL,60.9167,-46.05,-1.5,69,0,5.86,clear sky
